"16",45,12,7,2,2,2,2,4,7,7,24,1,13,12,4,3,3,5,5,0,0,5,37,1,36,16,8,8,2,10,4,4,11,7,108,11,4,3,2,2,0,0,58,0,56,12,9,18,8,9,7,3,2,8,18,6,6,0,5,5,3,0,0,36,35,34,24,19,4,0,0,0,30,24,23,0,20,1,20,9,18,12,4,2,2,2,0,2,2,1,1,0,0,0,2,2,0,0,0,1,1,0,1,1,0,49,11,3,4,15,15,5,4,26,4,11,11,2,0,8,7,7,3,0,0,44,14,2,3,3,6,19,5,8,2,3,2,2,2,3,9,2,1,2,2,4,1,0,4,4,4,14,12,2,6,66,21,7,4,4,9,1,1,5,5,4,2,9,4,2,1,1,1,4,1,1,1,0,6,1,1,48,20,0,6,2,2,17,16,13,13,6,5,2,2,1,0,16,0,0,0,0,12,12,12,9,16,2,12,11,12,1,0,1,91,32,8,12,12,12,7,7,32,9,13,4,1,1,29,15,6,2,0,3,1,1,5,5,8,4,3,9,0,9,9,9,0,0,0,23,7,4,4,10,1,1,6,6,5,3,10,4,2,2,1,1,1,6,1,1,1,0,7,2,1,49,21,0,2,2,14,6,2,1,2,7,2,3,3,4,2,0,0,15,61,0,59,14,9,3,19,5,8,2,1,11,3,3,3,7,4,3,4,4,4,9,2,4,4,2,20,6,7,1,5,4,6,1,3,0,0,37,36,35,4,24,23,6,20,58,9,5,3,2,11,10,52,8,4,1,1,1,0,0,0,47,20,0,9,8,6,5,5,22,4,4,20,10,10,5,5,11,4,2,9,9,9,5,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,21,6,16,15,16,16,3,11,11,14,11,6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56,54,7,4,1,9,8,44,6,0,0,0,0,41,9,8,1,0,0,0,0,7,4,14,14,6,5,0,22,22,22,19,7,2,18,3,0,0,0,0
"28",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",28,9,6,1,0,3,0,5,2,2,16,3,2,2,11,11,11,8,5,0,0,6,16,2,14,2,0,0,1,2,0,1,5,1,46,13,3,6,0,0,1,1,18,0,14,0,0,0,0,4,1,1,1,17,10,10,10,1,3,12,14,27,27,18,18,18,15,7,27,14,18,18,26,25,25,0,23,1,21,2,2,12,6,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,24,7,0,0,5,5,2,1,14,1,2,2,0,2,8,8,8,2,2,0,12,1,0,1,0,0,5,0,2,0,1,1,1,0,1,4,0,0,2,0,0,0,2,0,0,0,5,5,0,1,41,8,2,0,0,3,0,0,3,3,3,3,1,0,0,0,4,4,1,1,10,10,10,4,4,4,40,22,12,3,1,0,9,9,9,9,9,9,4,3,0,0,13,16,2,2,5,9,9,9,6,4,15,0,0,1,2,0,0,29,4,0,0,0,2,0,0,3,0,1,1,1,1,13,3,1,0,3,0,0,0,0,0,1,1,1,10,4,3,3,3,3,2,5,8,2,0,0,3,0,0,3,3,3,3,1,0,0,0,0,4,4,1,1,10,10,10,4,4,4,40,22,12,3,6,20,4,0,1,2,9,2,0,0,0,1,1,1,3,23,0,18,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,2,2,2,17,5,4,3,4,10,10,10,1,3,0,17,1,16,28,28,22,22,22,0,19,15,2,9,41,3,1,3,1,0,0,40,6,3,0,4,4,8,8,8,40,22,9,7,7,7,1,1,12,6,5,12,6,4,0,0,7,7,7,9,9,9,2,1,1,1,39,8,0,0,18,1,1,7,0,0,2,2,4,4,0,0,0,36,11,20,7,2,2,2,30,30,11,10,0,34,9,1,0,6,4,1,0,4,42,5,40,16,6,16,11,13,0,0,41,41,3,1,2,0,0,39,5,3,3,3,3,39,5,5,1,1,0,0,0,6,9,3,8,2,2,4,6,6,6,5,11,3,8,7,15,7,0,0
"52",28,7,3,3,3,1,2,4,4,3,18,5,8,6,3,3,3,6,2,4,4,1,15,2,10,4,0,0,1,1,0,1,1,1,56,16,3,7,4,4,6,5,35,4,26,2,1,5,2,8,2,2,2,0,9,8,8,3,5,7,13,0,0,14,14,14,11,3,10,18,0,0,16,16,16,2,12,0,11,4,1,26,2,4,2,29,12,7,7,6,3,31,10,13,10,10,22,6,6,16,8,8,9,9,5,18,5,1,1,3,1,0,0,9,2,4,2,0,0,1,1,1,12,9,2,21,0,0,0,0,0,8,0,4,0,2,1,0,0,0,7,0,2,1,1,3,0,0,2,1,1,5,5,0,2,45,4,3,0,0,1,0,0,1,1,1,0,5,2,3,1,0,0,4,0,4,4,3,0,0,0,41,18,8,2,1,1,22,21,14,7,5,4,2,2,7,6,8,15,1,1,0,13,12,12,9,4,8,1,1,3,7,0,3,50,9,4,1,0,4,2,2,11,0,5,2,1,2,17,3,3,1,5,0,0,0,1,1,3,3,3,3,7,4,4,4,2,4,9,6,3,0,0,1,0,0,2,2,2,0,5,3,2,3,1,0,0,5,0,4,4,3,1,1,1,43,19,9,4,14,16,4,1,0,0,9,1,4,4,6,4,6,6,9,43,4,34,3,2,1,9,0,4,2,1,9,1,0,0,2,2,2,1,1,1,3,0,2,2,0,10,8,8,3,5,1,9,1,18,0,0,14,14,14,1,11,9,0,4,43,7,4,3,0,2,2,38,2,1,1,0,0,2,2,2,38,17,1,12,11,6,2,2,18,6,5,16,11,8,3,2,9,8,8,6,6,5,4,3,2,2,0,0,0,0,0,0,0,1,0,0,1,1,41,8,8,8,5,31,9,19,7,12,11,1,15,15,9,14,5,32,9,3,0,5,5,2,2,3,40,17,1,0,0,0,0,0,0,0,42,42,4,2,2,1,1,33,1,0,2,2,2,32,8,8,41,13,7,3,18,6,2,0,4,8,6,7,14,14,14,8,4,2,4,0,0,0,0,0
"63",17,5,1,0,0,0,0,4,1,1,13,1,4,4,2,2,2,0,0,1,1,0,9,0,9,5,1,1,4,0,0,0,3,0,37,6,0,4,4,0,5,5,22,0,22,6,3,6,2,7,3,1,1,1,8,7,7,2,3,13,0,0,0,11,11,11,10,4,9,0,0,0,7,7,7,0,7,1,4,0,2,1,0,0,0,15,8,2,2,0,0,10,1,5,3,3,0,1,2,1,1,0,1,1,2,13,3,1,1,2,2,1,0,10,2,3,3,0,4,0,0,0,0,0,1,10,3,0,0,0,2,5,0,1,0,1,1,0,0,3,7,2,2,1,0,1,1,0,0,0,0,0,0,0,0,40,6,2,1,1,2,1,1,2,2,2,2,6,4,3,1,1,1,0,8,4,4,4,4,3,3,33,15,0,7,6,6,3,3,3,5,4,4,4,4,0,0,8,0,0,0,0,6,6,6,5,1,0,0,0,0,0,0,0,35,9,2,2,2,7,3,3,6,3,4,1,1,1,26,4,5,2,0,5,5,5,0,0,4,3,3,5,0,6,6,6,0,0,0,6,2,1,1,2,1,1,2,2,2,2,6,4,3,3,1,1,1,0,8,4,4,4,4,3,3,33,15,0,2,1,10,1,1,0,0,7,1,5,5,0,0,9,9,0,34,0,34,8,5,1,6,3,4,1,1,24,3,4,4,3,2,2,5,5,5,5,0,2,2,0,8,7,7,2,3,2,19,6,0,0,0,20,20,19,0,18,17,3,8,33,1,0,0,0,0,0,33,1,0,1,1,1,3,3,3,29,12,0,2,2,2,3,3,11,2,2,9,6,6,1,1,6,5,5,2,2,2,8,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,21,7,11,5,5,5,9,8,7,10,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,8,13,13,33,32,1,0,0,0,0,31,1,1,3,3,3,26,2,2,3,3,1,1,0,1,1,1,3,0,0,0,4,4,4,2,1,1,3,0,20,7,13,13
"67",35,20,10,1,1,8,0,17,8,4,31,21,12,11,1,1,1,0,0,14,14,2,22,5,16,7,2,1,3,5,1,3,5,1,47,26,20,23,10,1,18,18,39,9,33,17,7,10,4,6,7,5,2,17,13,12,10,6,9,1,3,0,0,5,4,4,2,0,0,4,0,0,4,4,4,2,3,0,0,0,0,3,0,0,0,37,24,14,14,7,6,24,13,15,17,16,0,2,15,8,7,7,10,8,8,23,11,3,6,6,6,3,1,12,7,6,5,1,0,0,0,0,1,1,2,16,4,1,1,1,2,9,3,6,1,2,0,0,0,3,5,1,1,1,0,2,2,0,1,1,1,1,0,0,0,23,4,0,2,2,1,0,0,0,0,0,0,5,1,0,0,4,4,0,0,1,0,0,4,3,3,0,0,9,4,3,1,2,2,2,8,6,5,3,3,7,6,0,7,4,0,0,2,1,1,1,0,0,0,0,0,14,7,10,45,20,10,5,4,9,4,3,15,2,8,4,2,2,15,3,3,0,7,3,3,1,0,0,8,5,3,0,6,0,0,0,2,7,9,4,0,2,2,1,0,0,0,0,0,0,5,1,0,0,0,4,4,0,0,1,0,0,4,3,3,0,0,10,0,4,26,21,12,5,3,24,20,12,9,1,1,19,19,4,44,11,38,18,8,4,11,1,5,1,1,10,2,2,3,8,5,3,0,0,0,18,12,8,6,5,13,12,10,7,9,3,1,0,4,0,0,6,5,5,0,2,0,1,0,12,3,1,2,0,0,0,9,1,0,1,3,3,1,0,0,0,0,4,2,2,2,1,1,50,14,8,31,19,15,4,7,12,11,10,1,0,0,4,4,4,3,0,0,0,0,0,0,0,0,0,0,6,6,39,7,8,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,4,11,2,1,2,1,0,7,0,0,0,0,0,0,0,0,12,12,3,1,2,0,0,9,0,2,0,0,0,0,1,1,18,4,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"71",11,1,1,0,0,1,0,1,1,1,9,3,4,4,0,0,0,5,3,2,2,1,9,0,9,1,0,0,1,3,1,1,0,0,48,13,3,9,3,7,2,2,26,1,26,3,0,10,2,4,2,2,1,1,1,1,1,1,0,2,0,0,0,8,8,8,4,2,1,0,0,0,3,3,3,2,1,0,1,2,2,18,3,8,8,4,2,1,1,1,1,4,0,1,3,3,1,0,1,3,3,1,0,0,1,12,1,0,1,0,0,0,0,12,2,5,4,0,1,1,1,1,0,0,0,27,4,0,0,0,3,11,1,6,0,5,4,4,4,0,4,0,0,0,0,1,1,0,1,1,1,3,2,0,0,19,3,0,0,0,3,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0,0,0,5,5,5,4,4,4,2,2,0,0,20,0,0,0,0,3,3,3,3,0,2,6,6,10,1,0,1,31,4,1,0,0,1,1,1,13,1,3,0,0,3,5,0,1,0,0,0,0,0,0,0,3,3,2,17,0,1,1,1,0,0,0,3,0,0,0,3,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17,8,0,0,8,15,3,1,2,2,12,1,3,3,7,9,2,2,9,28,1,28,3,0,0,11,0,2,0,3,4,0,1,0,2,2,1,1,1,1,1,0,1,1,1,3,1,1,1,0,0,12,2,0,0,0,8,8,8,0,4,3,0,6,14,2,1,1,0,1,0,13,1,1,0,0,0,0,0,0,12,5,0,5,5,5,0,0,7,1,1,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,33,6,1,1,24,11,10,5,3,3,1,1,5,1,0,0,1,16,2,12,12,2,2,0,4,4,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,14,14,2,1,0,1,0,10,0,0,0,0,0,9,5,5,5,1,1,1,1,1,0,3,4,10,9,0,5,5,5,3,0,0,3,0,2,2,1,1
"72",30,25,17,15,13,11,5,14,5,5,21,5,7,6,0,0,0,0,0,5,5,0,10,1,10,4,1,1,0,3,1,1,1,1,27,6,4,4,2,0,3,3,17,0,16,2,0,7,2,0,6,5,1,3,10,10,7,3,5,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,6,6,6,5,3,9,5,2,8,8,1,0,11,9,4,2,8,8,23,6,5,4,1,1,1,0,0,2,0,1,1,1,0,0,0,0,0,0,2,20,3,2,0,0,2,10,3,6,1,3,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5,2,0,0,5,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,24,5,4,1,1,0,0,0,12,1,6,3,0,0,1,1,0,0,0,0,0,0,0,0,6,5,1,3,0,1,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,3,3,4,3,2,2,0,0,3,5,9,17,0,16,2,0,0,7,0,2,0,0,0,0,0,0,6,5,1,0,0,0,5,2,0,0,2,10,11,7,3,5,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,24,11,16,9,9,4,5,9,9,4,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,47,2,8,8,23,7,3,2,0,0,0,0,0,0,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,6,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",19,6,1,0,0,0,0,0,0,0,7,1,0,0,5,5,5,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,2,0,36,8,2,4,0,4,10,9,5,0,4,0,0,0,0,1,0,0,0,1,3,3,3,0,0,1,1,17,17,15,14,14,14,5,0,2,7,7,21,21,21,2,18,0,10,0,6,9,1,0,0,29,8,7,5,6,6,19,5,8,11,9,7,5,3,7,7,5,18,15,4,12,1,0,0,0,0,0,0,8,0,0,0,0,3,2,2,2,0,0,4,11,2,0,0,0,1,3,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,2,2,2,4,4,1,1,49,3,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,1,4,9,9,7,2,2,2,40,5,15,6,1,1,12,12,11,3,2,2,0,0,8,6,2,2,0,0,11,9,9,9,9,5,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,2,1,0,0,0,0,11,2,0,0,1,2,0,0,0,0,1,1,0,2,0,1,1,1,0,0,1,7,1,1,1,4,0,0,0,0,0,0,2,1,0,0,0,0,0,1,5,10,10,9,2,2,2,40,5,15,1,1,8,2,0,0,0,5,1,0,0,5,3,10,10,1,14,0,14,1,0,0,1,1,0,0,0,5,2,0,1,0,0,0,0,0,0,4,1,1,1,0,3,3,3,0,0,0,2,0,5,23,23,25,24,24,0,24,18,2,7,47,5,4,3,0,1,1,45,3,3,1,0,0,6,6,5,40,5,14,7,7,6,1,0,8,3,2,6,2,1,0,0,3,3,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5,17,14,4,7,0,5,5,1,1,7,11,11,3,3,0,25,14,6,0,7,3,2,6,5,1,3,31,4,6,4,0,2,2,2,45,45,5,4,2,1,1,43,1,0,5,5,4,33,4,4,29,8,2,2,5,4,12,2,2,3,3,5,8,7,7,6,18,3,16,12,5,2,0,0
"82",33,11,3,2,1,2,3,7,15,14,21,3,14,14,3,3,3,4,4,0,0,1,39,1,36,22,6,6,12,14,5,6,8,4,49,9,4,2,1,3,0,0,39,1,36,13,7,13,3,6,13,8,8,3,9,5,4,3,1,0,7,17,14,19,17,17,14,2,0,6,14,13,23,21,21,6,16,8,0,1,3,14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,17,5,5,19,18,10,5,21,2,12,10,3,5,11,10,10,3,3,0,63,16,2,7,6,8,41,6,31,4,27,24,23,23,6,12,3,6,2,4,8,8,0,1,1,1,7,5,2,2,37,21,2,10,8,12,7,7,8,8,8,6,10,2,5,1,10,8,2,4,5,5,2,7,6,6,0,0,1,15,6,5,8,8,5,14,13,12,11,11,0,0,0,2,1,1,21,8,8,8,7,2,0,0,0,0,6,0,2,60,29,12,14,14,16,7,7,28,8,10,3,2,7,18,8,5,3,0,9,2,1,2,2,14,10,9,0,2,6,6,6,5,6,2,22,2,10,8,12,8,8,8,8,8,6,10,2,0,5,1,10,8,2,5,5,5,2,7,6,6,0,0,1,3,1,16,4,1,5,4,5,1,2,2,3,4,0,0,35,45,2,43,15,7,5,13,2,3,2,4,11,4,1,5,14,10,9,4,4,4,5,0,3,5,0,12,6,5,4,3,4,0,0,9,19,16,21,20,20,2,17,0,0,4,36,11,4,4,1,3,1,32,19,8,4,9,6,3,3,2,0,0,1,3,3,2,1,1,48,11,8,25,17,15,6,10,9,5,4,7,6,6,10,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,3,1,0,2,0,0,31,13,20,0,0,0,0,0,35,35,10,4,1,2,1,29,16,8,3,3,2,0,2,2,0,0,0,0,0,8,3,0,4,2,2,8,3,3,3,2,5,2,4,1,0,0,0,0
